,Classification,Oncogenes
57,BFB,C17orf37; CDK12; ERBB2; JUP; LASP1; MLLT6; RPL23
760,ecDNA,C17orf37; CDK12; ERBB2
1543,Complex-non-cyclic,ASPSCR1; C17orf37; CDK12; CSF3; ERBB2; FASN; THRA; WNT3
1587,ecDNA,C17orf37; CDK12; ERBB2
1624,Linear,C17orf37; CDK12; CSF3; ERBB2
1925,Complex-non-cyclic,C11orf30; C17orf37; CDC6; CDK12; CSF3; ERBB2; GAB2; INTS4; LASP1; MLLT6; PAK1; RARA; RPL23; RSF1; THRA
1939,Complex-non-cyclic,C17orf37; CCND1; CDC6; CDK12; CSF3; ERBB2; RARA; SMARCE1; TBC1D3; THRA; TNS4
1963,ecDNA,C17orf37; CDC6; CDK12; CLTC; CSF3; ERBB2; HLF; MSI2; NF1; PPM1D; RARA; THRA
2003,ecDNA,C17orf37; CDC6; CDK12; CSF3; ERBB2; JUP; LASP1; MLLT6; RARA; RPL23; SMARCE1; THRA; TNS4
2239,BFB,C17orf37; CDC6; CDK12; CSF3; ERBB2; LASP1; LHX1; MLLT6; RARA; RPL23; TBC1D3; THRA
2269,ecDNA,CDK12
2275,ecDNA,C17orf37; CDK12; CSF3; ERBB2
2340,Complex-non-cyclic,C17orf37; CDK12; CSF3; DNM2; ERBB2; LASP1; MLLT6; RPL23; TBC1D3; THRA
2345,ecDNA,C17orf37; CDK12; ERBB2
2436,ecDNA,C17orf37; CDK12; ERBB2
2437,BFB,BIRC5; C17orf37; CANT1; CBX8; CDK12; ERBB2
2479,Complex-non-cyclic,C17orf37; CBX7; CDK12; ERBB2; MFNG; MPST; MYH9; PDGFB
2979,BFB,C17orf37; CDC6; CDK12; CSF3; ERBB2; RARA; THRA; TNS4
3050,BFB,C17orf37; CDK12; CYGB; ERBB2; SEPT9; SRSF2
3115,BFB,C17orf37; CDC6; CDK12; CSF3; ERBB2; RARA; SMARCE1; THRA; TNS4
3129,Complex-non-cyclic,C17orf37; CDK12; ERBB2; LASP1; MLLT6; RPL23
3276,ecDNA,C17orf37; CDK12; ERBB2
3321,ecDNA,ADAM9; C17orf37; CDK12; ERBB2; FGFR1; IGF2BP1; SUZ12; WHSC1L1
3349,ecDNA,C17orf37; CDK12; COL1A1; ERBB2; IGF2BP1; ITGA3; NME1; PPM1D; SPAG9; TBX2
3552,ecDNA,C17orf37; CDC6; CDK12; CSF3; ERBB2; LASP1; MLLT6; RARA; RPL23; SMARCE1; THRA; TNS4
3677,Complex-non-cyclic,C17orf37; CDC6; CDK12; CSF3; ERBB2; LASP1; MLLT6; MYST3; RARA; RPL23; THRA
3703,Complex-non-cyclic,C17orf37; CDK12; CSF3; ERBB2; FAM46C; THRA
